index,fips,year,temp,tempc
272519,41013,1914,44.708333333333336,7.060185185185187
272520,41013,1915,45.016666666666666,7.231481481481481
272521,41013,1916,41.45,5.250000000000002
272522,41013,1917,44.075,6.708333333333335
272523,41013,1918,44.766666666666666,7.092592592592592
272524,41013,1919,43.275,6.263888888888888
272525,41013,1920,44.016666666666666,6.675925925925926
272526,41013,1921,44.525,6.958333333333332
272527,41013,1922,42.891666666666666,6.050925925925926
272528,41013,1923,44.0,6.666666666666667
272529,41013,1924,44.3,6.833333333333332
272530,41013,1925,46.45,8.027777777777779
272531,41013,1926,46.2,7.88888888888889
272532,41013,1927,43.99166666666667,6.662037037037037
272533,41013,1928,44.73333333333333,7.074074074074074
272534,41013,1929,42.891666666666666,6.050925925925926
272535,41013,1930,43.225,6.236111111111112
272536,41013,1931,45.225,7.347222222222222
272537,41013,1932,44.13333333333333,6.7407407407407405
272538,41013,1933,45.24166666666667,7.356481481481483
272539,41013,1934,48.48333333333333,9.157407407407408
272540,41013,1935,43.90833333333333,6.61574074074074
272541,41013,1936,45.28333333333333,7.379629629629629
272542,41013,1937,44.50833333333333,6.9490740740740735
272543,41013,1938,45.25833333333333,7.36574074074074
272544,41013,1939,46.708333333333336,8.171296296296298
272545,41013,1940,46.35833333333333,7.976851851851852
272546,41013,1941,45.875,7.708333333333333
272547,41013,1942,44.475,6.930555555555556
272548,41013,1943,44.208333333333336,6.782407407407408
272549,41013,1944,43.71666666666667,6.50925925925926
272550,41013,1945,44.59166666666667,6.995370370370371
272551,41013,1946,44.35,6.861111111111112
272552,41013,1947,45.65,7.583333333333333
272553,41013,1948,42.53333333333333,5.851851851851851
272554,41013,1949,43.11666666666667,6.175925925925927
272555,41013,1950,44.40833333333333,6.893518518518517
272556,41013,1951,43.875,6.597222222222222
272557,41013,1952,44.13333333333333,6.7407407407407405
272558,41013,1953,45.44166666666666,7.467592592592591
272559,41013,1954,44.15833333333333,6.754629629629629
272560,41013,1955,42.78333333333333,5.99074074074074
272561,41013,1956,44.54166666666666,6.967592592592592
272562,41013,1957,43.46666666666667,6.370370370370371
272563,41013,1958,47.08333333333333,8.379629629629626
272564,41013,1959,44.68333333333334,7.0462962962962985
272565,41013,1960,44.7,7.055555555555557
272566,41013,1961,45.95,7.7499999999999964
272567,41013,1962,44.54166666666666,6.967592592592592
272568,41013,1963,45.21666666666667,7.3425925925925934
272569,41013,1964,43.46666666666667,6.370370370370371
272570,41013,1965,44.875,7.152777777777778
272571,41013,1966,45.41666666666666,7.453703703703701
272572,41013,1967,45.65,7.583333333333333
272573,41013,1968,45.38333333333333,7.435185185185184
272574,41013,1969,44.24166666666667,6.800925925925927
272575,41013,1970,44.68333333333333,7.046296296296294
272576,41013,1971,43.95,6.63888888888889
272577,41013,1972,44.20833333333333,6.782407407407405
272578,41013,1973,45.275,7.375
272579,41013,1974,45.11666666666667,7.287037037037038
272580,41013,1975,43.975,6.652777777777779
272581,41013,1976,44.925,7.180555555555554
272582,41013,1977,45.075,7.26388888888889
272583,41013,1978,44.34166666666667,6.856481481481483
272584,41013,1979,44.78333333333333,7.101851851851851
272585,41013,1980,45.34166666666667,7.412037037037038
272586,41013,1981,45.675,7.5972222222222205
272587,41013,1982,43.225,6.236111111111112
272588,41013,1983,44.79166666666666,7.10648148148148
272589,41013,1984,43.48333333333333,6.37962962962963
272590,41013,1985,42.23333333333333,5.685185185185186
272591,41013,1986,46.30833333333333,7.949074074074073
272592,41013,1987,46.516666666666666,8.064814814814815
272593,41013,1988,46.3,7.944444444444443
272594,41013,1989,44.641666666666666,7.023148148148148
272595,41013,1990,45.80833333333334,7.671296296296298
272596,41013,1991,45.81666666666666,7.675925925925924
272597,41013,1992,47.5,8.61111111111111
272598,41013,1993,43.15833333333333,6.199074074074073
272599,41013,1994,46.266666666666666,7.925925925925926
272600,41013,1995,46.03333333333333,7.796296296296295
272601,41013,1996,45.71666666666667,7.620370370370371
272602,41013,1997,45.775,7.652777777777778
272603,41013,1998,46.0,7.777777777777778
272604,41013,1999,45.41666666666666,7.453703703703701
272605,41013,2000,45.45,7.472222222222224
272606,41013,2001,45.93333333333334,7.740740740740743
272607,41013,2002,45.891666666666666,7.717592592592592
272608,41013,2003,47.28333333333333,8.49074074074074
272609,41013,2004,46.55,8.083333333333332
272610,41013,2005,45.78333333333333,7.6574074074074066
272611,41013,2006,46.04166666666666,7.800925925925924
272612,41013,2007,46.141666666666666,7.856481481481481
272613,41013,2008,45.11666666666667,7.287037037037038
272614,41013,2009,45.675,7.5972222222222205
272615,41013,2010,45.30833333333333,7.393518518518517
272616,41013,2011,44.60833333333333,7.00462962962963
272617,41013,2012,46.33333333333333,7.96296296296296
272618,41013,2013,45.9,7.722222222222222
272619,41013,2014,47.56666666666667,8.648148148148149
272620,41013,2015,48.46666666666667,9.148148148148149
272621,41013,2016,46.641666666666666,8.13425925925926
272622,41013,2017,46.208333333333336,7.893518518518521
272623,41013,2018,46.5,8.055555555555555
272624,41013,2019,45.15,7.305555555555555
272625,41015,1895,50.75833333333333,10.421296296296296
272626,41015,1896,51.05,10.583333333333332
272627,41015,1897,50.85833333333333,10.476851851851851
272628,41015,1898,50.525,10.291666666666666
272629,41015,1899,50.24166666666667,10.13425925925926
272630,41015,1900,51.53333333333333,10.851851851851851
272631,41015,1901,50.10833333333333,10.060185185185183
272632,41015,1902,50.54166666666666,10.300925925925924
272633,41015,1903,50.516666666666666,10.287037037037036
272634,41015,1904,51.29166666666666,10.71759259259259
272635,41015,1905,51.59166666666667,10.88425925925926
272636,41015,1906,51.641666666666666,10.912037037037036
272637,41015,1907,51.7,10.944444444444446
272638,41015,1908,50.55833333333333,10.310185185185183
272639,41015,1909,50.425,10.236111111111107
272640,41015,1910,51.54166666666666,10.85648148148148
272641,41015,1911,49.391666666666666,9.662037037037036
272642,41015,1912,50.25,10.13888888888889
272643,41015,1913,50.54166666666666,10.300925925925924
272644,41015,1914,51.225,10.680555555555555
272645,41015,1915,51.025,10.569444444444445
272646,41015,1916,49.375,9.65277777777778
272647,41015,1917,50.05,10.027777777777777
272648,41015,1918,51.225,10.680555555555555
272649,41015,1919,49.9,9.944444444444445
272650,41015,1920,49.95,9.972222222222223
272651,41015,1921,50.766666666666666,10.425925925925926
272652,41015,1922,49.81666666666666,9.898148148148143
272653,41015,1923,51.075,10.597222222222223
272654,41015,1924,51.15,10.63888888888889
272655,41015,1925,51.78333333333333,10.99074074074074
272656,41015,1926,53.28333333333333,11.824074074074073
272657,41015,1927,50.73333333333333,10.407407407407408
272658,41015,1928,51.49166666666667,10.828703703703704
272659,41015,1929,50.4,10.22222222222222
272660,41015,1930,51.03333333333333,10.574074074074073
272661,41015,1931,51.90833333333333,11.060185185185183
272662,41015,1932,50.75833333333333,10.421296296296296
272663,41015,1933,50.35,10.194444444444445
272664,41015,1934,53.708333333333336,12.060185185185189
272665,41015,1935,50.825,10.458333333333336
272666,41015,1936,51.90833333333333,11.060185185185183
272667,41015,1937,50.98333333333333,10.546296296296298
272668,41015,1938,51.28333333333333,10.712962962962962
272669,41015,1939,52.516666666666666,11.398148148148149
272670,41015,1940,53.13333333333333,11.74074074074074
272671,41015,1941,52.641666666666666,11.467592592592592
272672,41015,1942,51.63333333333333,10.907407407407408
272673,41015,1943,51.675,10.930555555555554
272674,41015,1944,51.18333333333333,10.657407407407408
272675,41015,1945,51.891666666666666,11.050925925925926
272676,41015,1946,50.90833333333333,10.504629629629628
272677,41015,1947,52.03333333333333,11.129629629629628
272678,41015,1948,49.575,9.763888888888893
272679,41015,1949,50.6,10.333333333333334
272680,41015,1950,51.44166666666667,10.800925925925927
272681,41015,1951,51.48333333333333,10.824074074074074
272682,41015,1952,50.575,10.319444444444446
272683,41015,1953,51.708333333333336,10.949074074074076
272684,41015,1954,51.333333333333336,10.740740740740742
272685,41015,1955,49.7,9.833333333333336
272686,41015,1956,50.60833333333333,10.337962962962964
272687,41015,1957,51.6,10.88888888888889
272688,41015,1958,53.86666666666667,12.148148148148149
272689,41015,1959,51.90833333333333,11.060185185185183
272690,41015,1960,51.75,10.97222222222222
272691,41015,1961,51.85833333333333,11.032407407407408
272692,41015,1962,51.36666666666667,10.75925925925926
272693,41015,1963,51.833333333333336,11.01851851851852
272694,41015,1964,50.84166666666667,10.467592592592592
272695,41015,1965,51.75833333333333,10.976851851851851
272696,41015,1966,52.2,11.222222222222223
272697,41015,1967,52.00833333333333,11.11574074074074
272698,41015,1968,52.266666666666666,11.25925925925926
272699,41015,1969,51.50833333333333,10.837962962962962
272700,41015,1970,52.09166666666667,11.162037037037038
272701,41015,1971,50.375,10.208333333333334
272702,41015,1972,51.7,10.944444444444446
272703,41015,1973,51.95,11.083333333333336
272704,41015,1974,51.85833333333333,11.032407407407408
272705,41015,1975,51.05,10.583333333333332
272706,41015,1976,51.391666666666666,10.773148148148149
272707,41015,1977,51.81666666666666,11.009259259259258
272708,41015,1978,52.24166666666667,11.245370370370372
272709,41015,1979,52.766666666666666,11.537037037037036
272710,41015,1980,52.266666666666666,11.25925925925926
272711,41015,1981,52.99166666666667,11.662037037037038
272712,41015,1982,51.208333333333336,10.671296296296298
272713,41015,1983,52.54166666666666,11.412037037037036
272714,41015,1984,51.641666666666666,10.912037037037036
272715,41015,1985,51.28333333333333,10.712962962962962
272716,41015,1986,53.19166666666667,11.773148148148149
272717,41015,1987,53.391666666666666,11.88425925925926
272718,41015,1988,52.61666666666667,11.453703703703704
272719,41015,1989,51.80833333333333,11.004629629629628
272720,41015,1990,51.625,10.90277777777778
272721,41015,1991,52.63333333333333,11.462962962962962
272722,41015,1992,54.55,12.52777777777778
272723,41015,1993,51.63333333333333,10.907407407407408
272724,41015,1994,52.38333333333333,11.324074074074073
272725,41015,1995,53.55833333333334,11.976851851851857
272726,41015,1996,53.275,11.819444444444445
272727,41015,1997,53.083333333333336,11.712962962962964
272728,41015,1998,52.333333333333336,11.296296296296298
272729,41015,1999,52.13333333333333,11.185185185185183
272730,41015,2000,52.625,11.458333333333334
272731,41015,2001,52.75,11.52777777777778
272732,41015,2002,53.45,11.916666666666668
272733,41015,2003,53.7,12.055555555555555
272734,41015,2004,53.93333333333333,12.185185185185183
272735,41015,2005,53.53333333333333,11.962962962962962
272736,41015,2006,53.075,11.708333333333336
272737,41015,2007,52.09166666666667,11.162037037037038
272738,41015,2008,52.06666666666666,11.148148148148143
272739,41015,2009,52.73333333333333,11.51851851851852
272740,41015,2010,51.85833333333333,11.032407407407408
272741,41015,2011,51.79166666666666,10.995370370370368
272742,41015,2012,51.84166666666667,11.023148148148149
272743,41015,2013,52.96666666666667,11.648148148148149
272744,41015,2014,55.31666666666667,12.953703703703704
272745,41015,2015,55.24166666666667,12.912037037037038
272746,41015,2016,53.891666666666666,12.162037037037036
272747,41015,2017,53.15833333333333,11.754629629629628
272748,41015,2018,53.50833333333333,11.949074074074073
272749,41015,2019,53.141666666666666,11.74537037037037
272750,41017,1895,41.19166666666667,5.106481481481484
272751,41017,1896,42.516666666666666,5.842592592592592
272752,41017,1897,42.11666666666667,5.62037037037037
272753,41017,1898,41.31666666666666,5.175925925925924
272754,41017,1899,40.05833333333334,4.476851851851854
272755,41017,1900,42.583333333333336,5.879629629629631
272756,41017,1901,42.55833333333333,5.865740740740739
